GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,season,group_size
Lineups,-1628976-1630532-,W. Carter Jr. - F. Wagner,1610612753,ORL,27,16,11,0.593,559.0,110.1,111.5,109.3,109.2,0.8,2.2,0.617,1.57,17.2,0.318,0.703,0.511,0.153,0.523,0.576,104.3,103.72,86.44,1204,0.514,1225,868,3208,1590,427,1929,2077,1797,2797,2859,2839,2004,2011,1745,3001,2818,2152,2142,1739,1677785,2025-26,2
Lineups,-1628386-1630596-,J. Allen - E. Mobley,1610612739,CLE,36,23,13,0.639,558.0,116.9,116.8,109.4,109.0,7.5,7.8,0.642,1.91,19.5,0.294,0.715,0.517,0.143,0.577,0.61,102.9,103.17,85.97,1194,0.549,729,433,3485,1212,428,982,2026,1183,2216,1676,1167,2652,1572,1489,2481,911,947,2366,1027,1673530,2025-26,2
Lineups,-1628401-1631248-,D. White - B. Scheierman,1610612738,BOS,49,35,14,0.714,557.0,116.4,116.8,103.6,102.2,12.9,14.6,0.629,2.27,18.6,0.315,0.728,0.526,0.117,0.543,0.577,96.7,97.16,80.97,1129,0.576,190,57,3608,748,429,971,1076,652,2517,729,1716,2093,1244,1217,938,2017,2114,4301,672,1670325,2025-26,2
Lineups,-1629750-1630595-,J. Green - C. Cunningham,1610612765,DET,54,40,14,0.741,557.0,113.5,113.1,100.6,101.5,12.9,11.7,0.611,1.59,17.3,0.359,0.687,0.524,0.154,0.541,0.585,105.4,105.07,87.56,1218,0.58,75,7,3608,654,430,1613,1015,854,2931,2765,2716,1082,2568,1256,3034,2085,1775,1551,632,1669910,2025-26,2
Lineups,-1630595-1641842-,C. Cunningham - R. Holland II,1610612765,DET,50,36,14,0.72,556.0,111.1,112.0,102.5,102.5,8.6,9.5,0.61,1.61,17.5,0.328,0.702,0.518,0.152,0.528,0.572,103.3,102.86,85.72,1181,0.552,167,41,3608,734,432,1836,1102,1028,2953,2708,2615,1760,2054,1449,2936,2616,2299,2475,984,1668750,2025-26,2
Lineups,-1629655-1631108-,D. Gafford - M. Christie,1610612742,DAL,39,9,30,0.231,556.0,102.4,100.7,117.5,115.7,-15.0,-15.1,0.581,1.62,16.4,0.271,0.688,0.484,0.136,0.5,0.536,102.9,104.53,87.11,1210,0.432,576,1617,4698,3720,431,3537,3328,3753,3555,2680,3374,3270,2512,2972,1947,3367,3517,1775,3512,1668885,2025-26,2
Lineups,-1630558-1631170-,D. Mitchell - J. Jaquez Jr.,1610612748,MIA,48,27,21,0.563,555.0,116.1,114.9,105.4,104.9,10.7,10.0,0.643,2.25,19.6,0.257,0.702,0.493,0.121,0.567,0.599,105.9,106.7,88.91,1239,0.564,218,284,4307,1786,433,1264,1369,983,2213,755,1095,3614,2045,2617,1092,1157,1248,1045,829,1664095,2025-26,2
Lineups,-1629012-1642851-,C. Sexton - K. Knueppel,1610612766,CHA,41,20,21,0.488,554.0,105.8,107.2,111.7,109.8,-5.9,-2.6,0.655,1.44,18.4,0.323,0.721,0.527,0.18,0.538,0.575,103.2,103.4,86.17,1195,0.49,489,631,4307,2495,434,2733,2185,2476,1956,3221,1854,1874,1448,1177,3936,2171,2218,2281,2348,1662845,2025-26,2
Lineups,-1628386-1629731-,J. Allen - D. Wade,1610612739,CLE,37,22,15,0.595,554.0,120.7,120.2,110.3,111.3,10.4,8.8,0.633,1.94,19.9,0.316,0.705,0.525,0.145,0.602,0.629,103.5,103.2,86.0,1190,0.553,681,502,3733,1584,435,598,2507,1089,2403,1600,944,2055,1951,1244,2602,556,609,2356,964,1661795,2025-26,2
Lineups,-1630567-1641711-,S. Barnes - G. Dick,1610612761,TOR,56,33,23,0.589,554.0,108.6,107.7,104.4,103.2,4.1,4.5,0.715,2.08,20.0,0.308,0.653,0.482,0.138,0.519,0.559,103.7,104.69,87.24,1213,0.539,47,91,4442,1613,436,2631,1184,1542,885,1095,937,2283,3552,3052,2024,2923,2853,1719,1202,1661570,2025-26,2
Lineups,-1641716-1641767-,J. Walker - B. Sheppard,1610612754,IND,46,10,36,0.217,553.0,106.9,106.8,115.6,115.1,-8.7,-8.3,0.683,1.89,18.9,0.288,0.703,0.487,0.141,0.527,0.56,106.6,106.89,89.07,1233,0.455,291,1499,4771,3786,437,2792,3235,3136,1382,1769,1529,2830,2002,2842,2280,2655,2797,999,3111,1659115,2025-26,2
Lineups,-1627742-1627751-,B. Ingram - J. Poeltl,1610612761,TOR,27,16,11,0.593,552.0,113.6,114.4,112.5,112.7,1.1,1.6,0.636,1.92,19.6,0.302,0.727,0.513,0.145,0.563,0.592,102.1,101.61,84.68,1168,0.504,1225,868,3208,1590,441,1369,2788,1868,2356,1635,1098,2459,1251,1664,2565,1278,1485,3024,1995,1656620,2025-26,2
Lineups,-1630166-1631321-,D. Avdija - S. Cissoko,1610612757,POR,40,18,22,0.45,552.0,114.5,115.5,113.0,112.4,1.5,3.1,0.651,1.65,17.6,0.35,0.689,0.517,0.152,0.536,0.586,103.9,103.68,86.4,1192,0.504,533,736,4385,2643,439,1183,2721,1685,2035,2601,2508,1225,2502,1495,2947,2297,1729,2164,1989,1657015,2025-26,2
Lineups,-203903-1628969-,J. Clarkson - M. Bridges,1610612752,NYK,49,30,19,0.612,552.0,111.1,111.4,110.2,110.8,0.8,0.6,0.624,1.74,17.9,0.322,0.679,0.502,0.146,0.536,0.57,101.7,101.29,84.41,1160,0.5,190,176,4157,1421,440,1945,2384,1995,2653,2292,2241,1906,2845,2088,2614,2259,2402,3153,2072,1656910,2025-26,2
Lineups,-1629023-1630314-,P. Washington - B. Williams,1610612742,DAL,39,11,28,0.282,552.0,111.5,110.8,112.4,111.5,-0.9,-0.7,0.54,1.7,16.1,0.304,0.691,0.501,0.129,0.526,0.572,105.7,106.36,88.64,1227,0.508,576,1391,4661,3462,438,2058,2550,2218,4026,2400,3492,2393,2427,2115,1457,2678,2320,1128,1886,1657120,2025-26,2
Lineups,-1641718-1642268-,K. George - I. Collier,1610612762,UTA,43,12,31,0.279,551.0,109.6,108.8,128.8,129.4,-19.2,-20.6,0.734,1.99,20.4,0.259,0.657,0.452,0.144,0.534,0.574,105.9,106.04,88.37,1213,0.404,409,1274,4721,3467,443,2461,4384,4061,665,1447,713,3562,3462,3926,2543,2382,2239,1225,3851,1651990,2025-26,2
Lineups,-1628398-1629645-,K. Kuzma - K. Porter Jr.,1610612749,MIL,32,17,15,0.531,551.0,106.2,105.2,117.8,117.5,-11.6,-12.3,0.662,1.73,18.6,0.26,0.695,0.478,0.148,0.535,0.563,99.8,100.38,83.65,1152,0.44,939,795,3733,2009,442,3037,3605,3528,1844,2322,1737,3529,2276,3226,2766,2321,2712,3505,3377,1653335,2025-26,2
Lineups,-203084-1629640-,H. Barnes - K. Johnson,1610612759,SAS,59,42,17,0.712,549.0,112.9,112.2,112.1,109.4,0.9,2.8,0.588,1.88,17.2,0.328,0.709,0.518,0.128,0.521,0.565,101.9,103.44,86.2,1180,0.509,14,3,3953,775,445,1799,2111,1730,3426,1782,2843,1759,1782,1481,1409,2867,2626,2264,1856,1648265,2025-26,2
Lineups,-202685-1628971-,J. Valančiūnas - B. Brown,1610612743,DEN,50,31,19,0.62,549.0,113.5,112.7,119.1,118.3,-5.7,-5.6,0.599,1.68,17.9,0.294,0.727,0.519,0.148,0.551,0.588,97.1,97.76,81.46,1110,0.476,167,145,4157,1371,444,1693,3686,2837,3217,2462,2250,2651,1250,1416,2727,1707,1657,4203,2661,1648330,2025-26,2
Lineups,-203114-203468-,K. Middleton - C. McCollum,1610612764,WAS,24,9,15,0.375,549.0,112.6,114.0,116.7,117.7,-4.1,-3.8,0.574,1.88,17.7,0.286,0.675,0.479,0.13,0.546,0.575,104.7,103.57,86.31,1188,0.471,1426,1617,3733,2969,446,1446,3627,2604,3639,1788,2447,2859,2944,3173,1580,1897,2187,2204,2756,1645510,2025-26,2
Lineups,-1630696-1631323-,D. Smith - S. Fontecchio,1610612748,MIA,47,25,22,0.532,548.0,110.7,109.6,105.4,106.0,5.3,3.6,0.657,1.72,17.7,0.342,0.668,0.51,0.146,0.519,0.565,106.7,106.86,89.05,1224,0.527,252,359,4385,2005,448,2303,1523,1638,1933,2340,2441,1381,3099,1754,2651,2955,2633,1004,1478,1644655,2025-26,2
Lineups,-1628436-1630170-,L. Kornet - D. Vassell,1610612759,SAS,38,29,9,0.763,548.0,116.5,114.9,110.0,110.8,6.5,4.2,0.599,1.95,18.1,0.304,0.697,0.505,0.129,0.557,0.59,103.7,104.01,86.68,1198,0.527,621,210,2910,539,447,1261,2388,1587,3209,1559,2156,2403,2225,1968,1502,1489,1546,2024,1480,1644750,2025-26,2
Lineups,-1628378-1630241-,D. Mitchell - S. Merrill,1610612739,CLE,33,23,10,0.697,547.0,122.9,122.4,108.3,107.5,14.6,14.9,0.653,2.23,20.2,0.304,0.68,0.5,0.128,0.595,0.627,104.2,104.92,87.43,1199,0.57,880,433,3072,827,449,468,1741,642,1996,803,777,2396,2779,2356,1436,626,636,1614,748,1642145,2025-26,2
Lineups,-202691-1642843-,K. Thompson - C. Flagg,1610612742,DAL,45,14,31,0.311,547.0,102.6,101.5,107.6,104.9,-5.0,-3.3,0.6,1.5,16.5,0.279,0.722,0.501,0.15,0.506,0.541,105.3,107.23,89.36,1230,0.478,324,1063,4721,3326,451,3459,1366,2558,3119,3019,3290,3069,1389,2116,2821,3278,3388,908,2625,1640350,2025-26,2
Lineups,-1628970-1629012-,M. Bridges - C. Sexton,1610612766,CHA,40,20,20,0.5,547.0,109.1,110.0,115.7,114.1,-6.6,-4.1,0.607,1.6,17.4,0.309,0.712,0.512,0.151,0.534,0.575,100.7,101.02,84.19,1143,0.472,533,631,4234,2120,452,2234,3038,2648,3021,2763,2655,2265,1713,1715,2923,2343,2211,3263,2737,1639920,2025-26,2
Lineups,-1629627-1630529-,Z. Williamson - H. Jones,1610612740,NOP,27,12,15,0.444,547.0,114.3,113.7,111.6,110.8,2.7,2.9,0.637,2.04,19.0,0.274,0.685,0.478,0.13,0.551,0.588,104.0,104.68,87.23,1191,0.513,1225,1274,3733,2650,450,1510,2391,1717,2318,1199,1417,3177,2609,3224,1551,1719,1622,1726,1761,1641780,2025-26,2
Lineups,-1628374-1642268-,L. Markkanen - I. Collier,1610612762,UTA,34,14,20,0.412,544.0,108.3,108.8,117.4,115.9,-9.1,-7.1,0.72,1.74,19.7,0.306,0.66,0.48,0.162,0.53,0.572,105.3,105.74,88.11,1195,0.466,823,1063,4234,2814,456,2468,3353,3013,822,2307,1072,2340,3392,3157,3386,2543,2328,1324,2869,1632215,2025-26,2
Lineups,-201144-203944-,M. Conley - J. Randle,1610612750,MIN,45,27,18,0.6,544.0,116.4,115.9,111.5,111.1,4.9,4.7,0.656,2.06,18.9,0.258,0.69,0.478,0.126,0.564,0.608,103.5,103.91,86.59,1178,0.525,324,284,4066,1471,457,1121,2469,1513,1949,1152,1506,3580,2449,3214,1342,1240,1001,2070,1514,1631105,2025-26,2
Lineups,-1630567-1642867-,S. Barnes - C. Murray-Boyles,1610612761,TOR,45,24,21,0.533,544.0,109.2,109.6,103.1,103.1,6.1,6.5,0.71,2.07,19.8,0.34,0.705,0.519,0.14,0.52,0.553,100.8,100.67,83.9,1141,0.539,324,404,4307,1986,453,2322,1155,1333,967,1134,994,1411,1941,1433,2209,2899,3048,3412,1198,1633465,2025-26,2
Lineups,-1628983-1642349-,S. Gilgeous-Alexander - A. Mitchell,1610612760,OKC,41,35,6,0.854,544.0,123.9,122.0,102.9,100.6,21.0,21.4,0.539,2.34,17.0,0.267,0.694,0.494,0.098,0.579,0.628,105.0,107.01,89.17,1220,0.619,489,57,2347,386,454,495,962,439,4039,626,2955,3361,2312,2571,519,852,615,962,446,1632970,2025-26,2
Lineups,-203501-1642461-,T. Hardaway Jr. - S. Jones,1610612743,DEN,45,27,18,0.6,544.0,114.2,114.7,112.5,112.0,1.7,2.7,0.644,2.25,19.0,0.267,0.713,0.495,0.117,0.545,0.588,101.6,101.54,84.62,1147,0.515,324,284,4066,1471,455,1295,2649,1739,2170,754,1467,3363,1684,2506,932,1941,1652,3064,1704,1632280,2025-26,2
Lineups,-1628973-1630540-,J. Brunson - M. McBride,1610612752,NYK,31,21,10,0.677,543.0,126.4,126.3,112.4,112.5,14.0,13.8,0.602,2.33,18.4,0.366,0.696,0.525,0.114,0.573,0.61,98.2,98.18,81.82,1123,0.565,993,557,3072,881,459,313,2730,700,3102,658,1916,992,2245,1229,843,985,943,4131,810,1629480,2025-26,2
Lineups,-1628398-1629018-,K. Kuzma - G. Trent Jr.,1610612749,MIL,43,18,25,0.419,543.0,105.0,105.1,118.5,118.1,-13.6,-13.0,0.637,1.89,18.5,0.238,0.645,0.439,0.133,0.531,0.557,100.8,100.87,84.06,1134,0.419,409,736,4546,2791,458,3052,3664,3584,2320,1736,1848,3926,3702,4107,1728,2517,2927,3330,3700,1629520,2025-26,2
Lineups,-203484-1642285-,K. Caldwell-Pope - C. Spencer,1610612763,MEM,44,19,25,0.432,542.0,111.9,112.3,113.9,114.8,-1.9,-2.5,0.725,2.28,20.3,0.313,0.708,0.5,0.129,0.531,0.566,101.7,101.18,84.32,1147,0.497,366,691,4546,2720,462,1785,3170,2459,772,713,743,2145,1851,2122,1465,2506,2575,3191,2180,1625225,2025-26,2
Lineups,-1629029-1629637-,L. Dončić - J. Hayes,1610612747,LAL,42,27,15,0.643,542.0,120.7,121.2,113.3,113.7,7.4,7.6,0.581,1.82,17.5,0.303,0.711,0.517,0.133,0.585,0.623,102.3,101.95,84.96,1153,0.536,449,284,3733,1177,461,523,2952,1200,3556,1990,2550,2434,1741,1510,1705,774,704,2884,1264,1626485,2025-26,2
Lineups,-1629675-1630538-,N. Reid - B. Hyland,1610612750,MIN,44,28,16,0.636,542.0,115.2,115.6,106.3,106.0,8.9,9.6,0.604,1.86,18.3,0.327,0.723,0.518,0.14,0.563,0.583,103.6,103.58,86.31,1173,0.532,366,243,3858,1221,460,1166,1522,1025,3072,1857,1957,1798,1378,1454,2177,1282,1860,2200,1355,1626635,2025-26,2
Lineups,-201939-1641764-,S. Curry - B. Podziemski,1610612744,GSW,39,23,16,0.59,541.0,115.3,114.8,112.2,111.8,3.0,3.0,0.7,2.0,20.4,0.277,0.69,0.483,0.145,0.573,0.604,104.9,105.39,87.82,1192,0.516,576,433,3858,1607,463,1287,2594,1706,1108,1275,683,3112,2462,3006,2593,999,1107,1444,1691,1621895,2025-26,2
Lineups,-1641729-1642271-,B. Sensabaugh - K. Filipowski,1610612762,UTA,56,16,40,0.286,540.0,110.6,109.8,120.1,118.2,-9.5,-8.4,0.714,1.95,19.7,0.272,0.643,0.457,0.142,0.536,0.576,104.2,105.43,87.85,1185,0.45,47,868,4793,3403,467,2272,3682,3154,926,1568,1057,3244,3720,3828,2330,2275,2157,1427,3213,1618585,2025-26,2
Lineups,-1642262-1642268-,C. Williams - I. Collier,1610612762,UTA,41,11,30,0.268,540.0,104.4,103.9,123.4,121.4,-19.0,-17.5,0.673,1.71,18.6,0.275,0.702,0.477,0.152,0.512,0.549,104.4,105.5,87.92,1181,0.412,489,1391,4698,3510,466,3202,4010,3904,1551,2378,1720,3172,2051,3274,2936,3134,3153,1396,3780,1618730,2025-26,2
Lineups,-1627759-1641775-,J. Brown - J. Walsh,1610612738,BOS,47,30,17,0.638,540.0,118.2,117.3,115.8,117.3,2.4,0.1,0.538,1.68,16.4,0.366,0.676,0.526,0.138,0.55,0.584,98.0,97.74,81.45,1097,0.504,252,176,3953,1219,465,892,3567,2063,4057,2465,3364,989,2914,1213,2022,1738,1824,4205,1983,1619115,2025-26,2
Lineups,-1626220-1642345-,R. O'Neale - O. Ighodaro,1610612756,PHX,61,35,26,0.574,540.0,109.6,108.3,111.7,108.0,-2.1,0.2,0.616,1.68,17.5,0.311,0.675,0.487,0.146,0.539,0.565,98.1,100.38,83.65,1127,0.476,2,57,4596,1704,464,2548,1843,2041,2812,2462,2589,2189,2940,2864,2609,2149,2598,3503,2665,1621040,2025-26,2
Lineups,-1629014-1630202-,A. Simons - P. Pritchard,1610612738,BOS,48,30,18,0.625,538.0,116.5,118.3,118.6,116.0,-2.0,2.3,0.535,1.95,16.1,0.341,0.691,0.507,0.116,0.544,0.579,99.3,99.64,83.04,1130,0.484,218,176,4066,1298,468,779,3379,1789,4079,1567,3473,1391,2423,1911,893,1985,2035,3752,2492,1614940,2025-26,2
Lineups,-1629655-1642843-,D. Gafford - C. Flagg,1610612742,DAL,35,8,27,0.229,538.0,107.1,106.3,112.5,110.5,-5.4,-4.2,0.588,1.82,17.3,0.27,0.7,0.493,0.13,0.522,0.555,102.0,103.32,86.1,1155,0.485,780,1742,4631,3731,469,2869,2344,2664,3407,2003,2760,3302,2136,2610,1530,2837,2980,2314,2467,1613255,2025-26,2
Lineups,-1631096-1642349-,C. Holmgren - A. Mitchell,1610612760,OKC,36,31,5,0.861,537.0,115.3,115.3,98.5,99.1,16.7,16.1,0.572,2.04,18.1,0.272,0.729,0.513,0.122,0.554,0.591,102.4,102.12,85.1,1147,0.61,729,145,2095,378,470,1211,792,594,3660,1207,2123,3247,1225,1651,1129,1590,1538,2802,478,1612460,2025-26,2
Lineups,-1628370-1642363-,M. Monk - N. Clifford,1610612758,SAC,45,12,33,0.267,537.0,108.8,108.8,115.0,114.3,-6.1,-5.5,0.618,1.68,17.7,0.3,0.646,0.476,0.146,0.531,0.566,101.4,101.73,84.77,1130,0.462,324,1274,4743,3516,472,2457,3085,2827,2776,2453,2391,2486,3669,3286,2636,2503,2589,2979,2969,1610875,2025-26,2
Lineups,-1628983-1631119-,S. Gilgeous-Alexander - J. Williams,1610612760,OKC,38,32,6,0.842,537.0,122.7,122.4,100.2,99.4,22.6,23.0,0.581,2.43,17.9,0.245,0.694,0.484,0.099,0.579,0.629,102.3,102.83,85.69,1151,0.621,621,120,2347,397,471,466,802,408,3565,527,2290,3841,2328,2978,537,855,612,2496,429,1611180,2025-26,2
Lineups,-1642262-1642271-,C. Williams - K. Filipowski,1610612762,UTA,46,12,34,0.261,536.0,108.7,108.8,122.0,120.6,-13.3,-11.8,0.666,1.83,19.0,0.28,0.695,0.481,0.145,0.529,0.567,103.9,104.44,87.03,1164,0.434,291,1274,4752,3542,475,2470,3936,3481,1796,1975,1468,3031,2277,3102,2596,2597,2531,1827,3472,1606995,2025-26,2
Lineups,-1628973-1629013-,J. Brunson - L. Shamet,1610612752,NYK,34,23,11,0.676,536.0,113.9,113.9,110.4,108.0,3.5,6.0,0.617,2.26,18.1,0.299,0.724,0.498,0.113,0.531,0.563,100.0,101.09,84.24,1126,0.515,823,433,3208,887,473,1452,1827,1385,2784,746,2140,2523,1338,2386,812,2522,2679,3230,1709,1608175,2025-26,2
Lineups,-201566-1631099-,R. Westbrook - K. Murray,1610612758,SAC,23,5,18,0.217,536.0,104.7,106.3,119.9,122.1,-15.2,-15.8,0.594,1.77,17.2,0.291,0.662,0.467,0.135,0.495,0.535,102.8,101.16,84.3,1131,0.428,1483,2265,4066,3786,474,2874,4060,3798,3296,2168,2812,2761,3335,3558,1886,3612,3538,3199,3578,1607130,2025-26,2
Lineups,-1628392-1628983-,I. Hartenstein - S. Gilgeous-Alexander,1610612760,OKC,30,24,6,0.8,535.0,117.9,118.1,107.6,107.8,10.3,10.3,0.564,1.98,17.8,0.316,0.712,0.522,0.125,0.558,0.597,102.2,102.04,85.03,1135,0.562,1048,404,2347,436,477,804,1803,952,3795,1470,2362,2045,1710,1331,1293,1452,1308,2841,851,1603885,2025-26,2
Lineups,-1630541-1642366-,M. Moody - Q. Post,1610612744,GSW,56,29,27,0.518,535.0,110.2,109.6,106.9,104.8,3.2,4.9,0.721,2.01,20.2,0.285,0.726,0.501,0.144,0.532,0.567,102.2,103.48,86.23,1153,0.514,47,210,4631,2083,476,2305,1345,1494,816,1272,792,2946,1305,2101,2521,2454,2548,2252,1746,1604540,2025-26,2
Lineups,-1641731-1642267-,B. Coulibaly - B. Carrington,1610612764,WAS,40,13,27,0.325,531.0,102.2,101.5,120.4,120.4,-18.2,-19.0,0.623,1.43,17.1,0.274,0.672,0.466,0.163,0.512,0.545,105.6,105.99,88.32,1169,0.406,533,1169,4631,3280,479,3463,3921,3984,2671,3254,2946,3188,3005,3613,3462,3151,3278,1241,3833,1592320,2025-26,2
Lineups,-1628379-1630168-,L. Kennard - O. Okongwu,1610612737,ATL,41,20,21,0.488,531.0,110.2,108.2,115.5,114.0,-5.3,-5.8,0.728,1.81,20.2,0.281,0.692,0.485,0.158,0.562,0.589,103.0,104.56,87.13,1169,0.478,489,631,4307,2495,478,2558,3031,2865,722,2043,799,3024,2359,2933,3278,1325,1574,1770,2622,1594175,2025-26,2
Lineups,-1629130-1630191-,D. Robinson - I. Stewart,1610612765,DET,47,35,12,0.745,529.0,114.0,113.6,108.9,107.3,5.2,6.3,0.625,1.84,18.3,0.334,0.698,0.521,0.141,0.552,0.586,101.5,102.39,85.33,1136,0.546,252,57,3347,646,481,1521,1716,1355,2589,1914,1945,1511,2185,1365,2265,1667,1726,2672,1085,1585680,2025-26,2
Lineups,-1641796-1642276-,P. Larsson - K. Ware,1610612748,MIA,44,25,19,0.568,529.0,109.6,108.3,114.7,114.7,-5.1,-6.3,0.624,1.94,18.5,0.286,0.68,0.488,0.134,0.529,0.558,107.7,108.34,90.29,1189,0.478,366,359,4157,1758,480,2539,3148,2919,2652,1575,1786,2864,2778,2815,1782,2592,2859,701,2621,1588265,2025-26,2
Lineups,-201142-203500-,K. Durant - S. Adams,1610612745,HOU,31,20,11,0.645,528.0,115.9,117.9,107.1,106.8,8.8,11.1,0.51,1.23,15.1,0.46,0.735,0.599,0.178,0.532,0.577,99.0,98.29,81.91,1091,0.572,993,631,3208,1163,484,832,1642,892,4189,3776,3880,307,1105,323,3906,2455,2122,4097,716,1583770,2025-26,2
Lineups,-1628969-1629011-,M. Bridges - M. Robinson,1610612752,NYK,45,29,16,0.644,528.0,115.5,112.8,108.5,108.0,6.9,4.8,0.589,1.69,17.0,0.401,0.691,0.543,0.147,0.533,0.557,97.8,99.16,82.64,1075,0.514,324,210,3858,1170,483,1662,1844,1501,3383,2442,2972,565,2418,809,2688,2404,2910,3890,1736,1585025,2025-26,2
Lineups,-1629675-1641740-,N. Reid - J. Clark,1610612750,MIN,51,33,18,0.647,528.0,114.9,112.5,106.8,106.7,8.1,5.7,0.597,1.77,16.8,0.349,0.707,0.525,0.132,0.546,0.581,102.1,103.22,86.02,1140,0.531,140,91,4066,1145,482,1752,1629,1405,3243,2156,3102,1251,1867,1223,1689,1885,1928,2348,1366,1585440,2025-26,2
Lineups,-1629640-1642264-,K. Johnson - S. Castle,1610612759,SAS,51,37,14,0.725,527.0,105.0,102.7,104.7,101.6,0.3,1.1,0.651,1.61,17.7,0.298,0.694,0.499,0.153,0.514,0.547,103.1,105.77,88.14,1149,0.495,140,26,3608,716,485,3352,1025,1940,2037,2726,2411,2574,2313,2365,3021,3091,3226,1310,2214,1581980,2025-26,2
Lineups,-1628960-1631221-,G. Allen - C. Gillespie,1610612756,PHX,38,21,17,0.553,526.0,114.5,114.1,114.2,111.2,0.3,2.9,0.68,2.21,18.9,0.333,0.638,0.474,0.123,0.542,0.569,98.2,99.75,83.12,1095,0.483,621,557,3953,1877,488,1433,2478,1721,1440,842,1563,1513,3808,3350,1167,2053,2429,3726,2521,1577155,2025-26,2
Lineups,-1630193-1642266-,I. Quickley - J. Walter,1610612761,TOR,50,30,20,0.6,526.0,113.0,112.4,113.2,113.9,-0.2,-1.6,0.681,2.17,19.6,0.321,0.68,0.497,0.131,0.538,0.569,101.3,101.28,84.4,1107,0.493,167,176,4234,1471,486,1766,3009,2337,1416,944,1112,1943,2776,2444,1605,2204,2456,3157,2270,1577565,2025-26,2
Lineups,-1631107-1631170-,N. Jović - J. Jaquez Jr.,1610612748,MIA,35,18,17,0.514,526.0,114.7,113.7,104.0,105.1,10.7,8.6,0.675,1.96,19.1,0.299,0.678,0.5,0.137,0.553,0.597,108.6,108.51,90.43,1191,0.565,780,736,3953,2098,487,1510,1391,1104,1512,1519,1412,2525,2850,2119,1985,1614,1319,672,815,1577175,2025-26,2
Lineups,-203500-1641708-,S. Adams - A. Thompson,1610612745,HOU,32,21,11,0.656,525.0,113.9,115.2,103.8,103.0,10.1,12.2,0.54,1.33,15.6,0.446,0.724,0.587,0.17,0.522,0.562,98.6,98.49,82.07,1080,0.578,939,557,3208,1099,489,1226,1140,804,4032,3567,3712,337,1352,361,3717,2849,2736,4052,651,1574660,2025-26,2
Lineups,-1630598-1631096-,A. Wiggins - C. Holmgren,1610612760,OKC,42,32,10,0.762,524.0,109.9,109.2,100.6,100.5,9.3,8.6,0.601,1.64,17.5,0.276,0.701,0.504,0.146,0.534,0.576,101.1,101.44,84.53,1110,0.565,449,120,3072,542,490,2388,959,1102,3115,2639,2624,3144,2080,1992,2629,2360,2172,3106,814,1572915,2025-26,2
Lineups,-1629632-1641824-,C. White - M. Buzelis,1610612741,CHI,29,14,15,0.483,523.0,117.6,115.9,115.8,116.2,1.8,-0.3,0.687,2.36,20.7,0.273,0.734,0.511,0.124,0.579,0.607,103.0,103.6,86.33,1133,0.513,1108,1063,3733,2508,492,1119,3398,2161,1336,609,582,3201,1120,1722,1217,865,1011,2193,1769,1569960,2025-26,2
Lineups,-1629640-1641705-,K. Johnson - V. Wembanyama,1610612759,SAS,47,34,13,0.723,523.0,115.1,113.7,100.6,98.6,14.5,15.1,0.617,1.85,18.2,0.341,0.722,0.545,0.139,0.553,0.589,102.1,103.75,86.46,1125,0.598,252,71,3485,725,491,1508,759,633,2797,1898,2084,1399,1411,773,2099,1624,1600,2130,538,1570480,2025-26,2
Lineups,-1629656-1631230-,Q. Grimes - D. Barlow,1610612755,PHI,45,25,20,0.556,523.0,107.9,107.7,109.2,110.0,-1.4,-2.4,0.591,1.57,16.8,0.292,0.702,0.497,0.147,0.521,0.56,103.2,102.88,85.73,1122,0.488,324,359,4234,1827,494,2655,2239,2446,3338,2850,3094,2709,2029,2425,2694,2885,2801,2469,2396,1567650,2025-26,2
Lineups,-1629004-1642846-,S. Mykhailiuk - A. Bailey,1610612762,UTA,42,13,29,0.31,523.0,110.4,111.2,119.4,119.4,-9.0,-8.1,0.713,2.33,20.3,0.295,0.729,0.5,0.126,0.528,0.559,104.7,104.35,86.96,1139,0.459,449,1169,4679,3329,493,1972,3808,3127,935,661,731,2633,1213,2357,1335,2644,2826,1864,3027,1568960,2025-26,2
Lineups,-1630171-1630200-,I. Okoro - T. Jones,1610612741,CHI,39,19,20,0.487,522.0,111.8,109.9,121.0,121.6,-9.2,-11.7,0.707,2.32,20.6,0.241,0.676,0.461,0.124,0.552,0.584,103.4,104.01,86.68,1128,0.462,576,691,4234,2497,495,2242,4025,3467,1014,666,622,3889,2912,3747,1197,1664,1837,2023,2971,1566520,2025-26,2
